url,marca,modelo,año,precio,imagen
https://articulo.tucarro.com.co/MCO-1679737833-ford-explorer-platinum-23-turbo-ecoboost-_JM,Ford,Explorer,2025,259990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1679737833.webp
https://articulo.tucarro.com.co/MCO-1662162861-ford-explorer-st-30-2025-_JM,Ford,Explorer,2025,279000000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1662162861.webp
https://articulo.tucarro.com.co/MCO-3176547794-ford-edge-2014-limited-fl-_JM,Ford,Edge,2014,45900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3176547794.webp
https://articulo.tucarro.com.co/MCO-3145804170-ford-escape-25-platinum-awd-ecvt-hibrida-_JM,Ford,Escape,2025,199990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3145804170.webp
https://articulo.tucarro.com.co/MCO-1686776157-ford-ecosport-se-20-2017-at-_JM,Ford,Ecosport,2017,46900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1686776157.webp
https://articulo.tucarro.com.co/MCO-1606626473-ford-bronco-27-badlands-2025-4x4-_JM,Ford,Bronco,2025,329990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1606626473.webp
https://articulo.tucarro.com.co/MCO-3236348842-ford-escape-20-se-4x2-_JM,Ford,Escape,2013,38900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3236348842.webp
https://articulo.tucarro.com.co/MCO-3159460212-bmw-x1-sdrive18i-edicion-m-u11-_JM,BMW,X1,2026,227900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3159460212.webp
https://articulo.tucarro.com.co/MCO-1675366607-bmw-x5-xdrive-50e-xline-hibrida-enchufable-_JM,BMW,X5,2025,449900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1675366607.webp
https://articulo.tucarro.com.co/MCO-1680659175-bmw-serie-4-20-420i-sport-line-_JM,BMW,Serie 4,2025,249900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1680659175.webp
